 Zkm LST  ndCO2m3     ndN2m3      ndOm3       ndCOm3      ndHem3      ndNm3       rhokgm3     PNm2         TK      MMWT
 100 12  1.08E+21    4.61E+19    1.27E+17    5.42E+17    7.81E+15    4.58E+09    8.14E-05    2.733E+00    175.0    43.33
 105 12  2.99E+20    1.29E+19    3.17E+17    6.98E+17    2.29E+15    2.51E+11    2.25E-05    7.565E-01    175.0    43.28
 110 12  8.21E+19    3.57E+18    3.45E+17    6.67E+17    6.81E+14    6.86E+11    6.21E-06    2.132E-01    178.0    43.11
 115 12  2.31E+19    1.06E+18    2.32E+17    3.29E+17    2.20E+14    4.49E+13    1.76E-06    6.217E-02    182.0    42.84
 120 12  6.62E+18    3.23E+17    1.20E+17    1.43E+17    8.19E+13    1.30E+14    5.08E-07    1.878E-02    189.0    42.50
 125 12  1.98E+18    1.04E+17    4.42E+16    6.68E+16    3.65E+13    2.00E+14    1.54E-07    6.009E-03    198.0    42.19
 130 12  6.26E+17    3.55E+16    2.76E+16    3.26E+16    1.85E+13    1.72E+14    4.97E-08    2.056E-03    206.0    41.41
 135 12  2.07E+17    1.34E+16    1.54E+16    1.64E+16    1.06E+13    1.24E+14    1.69E-08    7.481E-04    215.0    40.39
 140 12  7.17E+16    5.54E+15    9.13E+15    8.42E+15    7.03E+12    9.02E+13    6.13E-09    2.946E-04    225.0    38.92
 145 12  2.59E+16    2.48E+15    5.83E+15    4.39E+15    5.65E+12    6.49E+13    2.37E-09    1.261E-04    236.0    36.88
 150 12  9.81E+15    1.32E+15    4.01E+15    2.34E+15    5.02E+12    4.65E+13    9.94E-10    5.963E-05    246.5    34.16
